Fazenda;Numero_Matriz;Nome_Matriz;Tipo;Data_Reproducao;Reprodutor;Diagnostico;Data_Parto;Lancado_em;ID_Registro;Acao
FAZENDA ÁGUA BONITA;97;97;Inseminação;06/06/2025;QUICKMAN COL;Prenhez;;03/03/2026 15:56;2383144;EXCLUIR
FAZENDA ÁGUA BONITA;284;284;Inseminação;20/01/2025;QUICKMAN COL;Prenhez;;03/03/2026 15:56;2382739;MANTER
FAZENDA ÁGUA BONITA;284;284;Inseminação;20/01/2025;QUICKMAN COL;Prenhez;;03/03/2026 15:56;2382762;EXCLUIR
FAZENDA ÁGUA BONITA;610;610;Inseminação;10/09/2024;TARUMÃ TUL;Vazio;;03/03/2026 15:56;2382546;MANTER
FAZENDA ÁGUA BONITA;610;610;Inseminação;10/09/2024;TARUMÃ TUL;Vazio;;03/03/2026 15:56;2382552;EXCLUIR
FAZENDA ÁGUA BONITA;238;238;Inseminação;06/06/2025;QUICKMAN COL;Prenhez;;03/03/2026 15:56;2383167;MANTER
FAZENDA ÁGUA BONITA;238;238;Inseminação;06/06/2025;QUICKMAN COL;Prenhez;;03/03/2026 15:56;2383189;EXCLUIR
FAZENDA BELA VISTA;25 LEITE;FILHA DA CORAÇÃO;Inseminação;27/06/2026;1664-CL;Não diagnosticado;;15/05/2026 15:37;2398729;MANTER
FAZENDA BELA VISTA;25 LEITE;FILHA DA CORAÇÃO;Inseminação;27/06/2026;1664-CL;Não diagnosticado;;26/06/2026 20:38;2402708;EXCLUIR
Fazenda Cachoeira;801;JLKK;Inseminação;07/02/2020;RFA 4780;Prenhez;17/11/2020;27/02/2026 19:00;2372524;MANTER
Fazenda Cachoeira;801;JLKK;Inseminação;07/02/2020;RFA 4780;Prenhez;17/11/2020;04/09/2026 15:38;2420006;EXCLUIR
Fazenda Cachoeira;801;JLKK;Inseminação;04/05/2024;P172 R176 19;Prenhez;27/02/2025;04/09/2026 15:38;2420717;MANTER
Fazenda Cachoeira;801;JLKK;Inseminação;04/05/2024;P172 R176 19;Não diagnosticado;;27/08/2026 20:18;2418614;EXCLUIR
Fazenda Cachoeira;810;JLK;Inseminação;18/04/2024;JCDG12029;Prenhez;02/02/2025;08/09/2026 19:10;2422093;MANTER
Fazenda Cachoeira;810;JLK;Inseminação;18/04/2024;JCDG12029;Não diagnosticado;;04/09/2026 15:38;2420755;EXCLUIR
Fazenda Cachoeira;2915;;Monta Natural;11/03/2025;T001;Não diagnosticado;;25/08/2026 19:35;2415247;MANTER
Fazenda Cachoeira;2915;;Monta Natural;11/03/2025;T001;Não diagnosticado;;08/09/2026 17:27;2422085;EXCLUIR
Fazenda Cachoeira;1209;JLK;Monta Natural;17/10/2024;1348;Prenhez;07/08/2025;25/08/2026 19:35;2415065;MANTER
Fazenda Cachoeira;1209;JLK;Monta Natural;17/10/2024;1348;Prenhez;07/08/2025;04/09/2026 20:31;2421018;EXCLUIR
Fazenda Cachoeira;570;JLKK;Monta Natural;15/12/2022;T002;Não diagnosticado;;25/08/2026 19:35;2415415;MANTER
Fazenda Cachoeira;570;JLKK;Monta Natural;15/12/2022;T002;Não diagnosticado;;08/09/2026 17:27;2422075;EXCLUIR
Fazenda Cachoeira;1452;JLK;Inseminação;24/10/2024;Z.   C165277;Prenhez;16/08/2025;08/09/2026 19:51;2422101;MANTER
Fazenda Cachoeira;1452;JLK;Inseminação;24/10/2024;Z.   C165277;Não diagnosticado;;04/09/2026 15:38;2420894;EXCLUIR
Fazenda Cachoeira;893;JLK;Inseminação;14/12/2023;197217AJ;Prenhez;05/10/2024;09/09/2026 14:29;2422608;MANTER
Fazenda Cachoeira;893;JLK;Inseminação;14/12/2023;197217AJ;Não diagnosticado;;04/09/2026 15:38;2420758;EXCLUIR
Fazenda Cachoeira;270;;Inseminação;20/02/2025;THH0003;Prenhez;10/12/2025;25/08/2026 20:15;2417234;MANTER
Fazenda Cachoeira;270;;Inseminação;20/02/2025;THH0003;Prenhez;10/12/2025;09/09/2026 14:16;2422569;EXCLUIR
Fazenda Cachoeira;1781;;Monta Natural;14/12/2023;T001;Não diagnosticado;;27/08/2026 20:18;2418695;MANTER
Fazenda Cachoeira;1781;;Monta Natural;14/12/2023;T001;Não diagnosticado;;08/09/2026 17:27;2422079;EXCLUIR
Fazenda Cachoeira;1781;;Monta Natural;21/12/2023;T001;Prenhez;10/10/2024;04/09/2026 20:31;2420951;MANTER
Fazenda Cachoeira;1781;;Monta Natural;21/12/2023;T001;Prenhez;10/10/2024;09/09/2026 12:00;2422549;EXCLUIR
Fazenda Cachoeira;1781;;Monta Natural;21/12/2023;T001;Prenhez;10/10/2024;09/09/2026 14:29;2422605;EXCLUIR
Fazenda Cachoeira;805;JLK;Monta Natural;01/01/2025;T001;Prenhez;17/10/2025;04/09/2026 20:31;2421049;MANTER
Fazenda Cachoeira;805;JLK;Monta Natural;01/01/2025;T001;Não diagnosticado;;27/08/2026 20:18;2418969;EXCLUIR
Fazenda Cachoeira;809;JLK;Monta Natural;26/10/2023;T001;Prenhez;09/08/2024;04/09/2026 20:31;2421017;MANTER
Fazenda Cachoeira;809;JLK;Monta Natural;26/10/2023;T001;Não diagnosticado;;25/08/2026 19:35;2415081;EXCLUIR
Fazenda Cachoeira;1101;JLK;Monta Natural;25/05/2024;T001;Prenhez;15/03/2025;04/09/2026 20:31;2420927;MANTER
Fazenda Cachoeira;1101;JLK;Monta Natural;25/05/2024;T001;Prenhez;15/03/2025;04/09/2026 20:31;2420928;EXCLUIR
Fazenda Cachoeira;1556;;Inseminação;10/06/2026;H1162;Vazio;;25/08/2026 20:15;2417427;MANTER
Fazenda Cachoeira;1556;JLK;Inseminação;10/06/2026;H1162;Não diagnosticado;;10/06/2026 20:29;2400032;EXCLUIR
Fazenda Cachoeira;817;JLKK;Monta Natural;26/10/2023;T001;Não diagnosticado;;16/09/2026 12:13;2430009;MANTER
Fazenda Cachoeira;817;JLKK;Monta Natural;26/10/2023;T001;Não diagnosticado;;16/09/2026 12:14;2430010;EXCLUIR
Fazenda Cachoeira;817;;Monta Natural;26/10/2023;T001;Não diagnosticado;;25/08/2026 19:35;2415148;MANTER
Fazenda Cachoeira;817;;Monta Natural;26/10/2023;T001;Não diagnosticado;;08/09/2026 17:27;2422080;EXCLUIR
Fazenda Cachoeira;804;JLKK;Monta Natural;15/10/2022;T002;Não diagnosticado;;25/08/2026 19:35;2415492;MANTER
Fazenda Cachoeira;804;JLKK;Monta Natural;15/10/2022;T002;Não diagnosticado;;08/09/2026 17:27;2422064;EXCLUIR
Fazenda Cachoeira;804;JLKK;Monta Natural;04/07/2023;T001;Prenhez;23/04/2024;04/09/2026 20:55;2421186;MANTER
Fazenda Cachoeira;804;JLKK;Monta Natural;04/07/2023;T001;Prenhez;23/04/2024;09/09/2026 12:00;2422454;EXCLUIR
Fazenda Cachoeira;1556;;Inseminação;10/06/2026;H1162;Não diagnosticado;;16/09/2026 13:28;2430025;MANTER
Fazenda Cachoeira;1556;;Inseminação;10/06/2026;H1162;Não diagnosticado;;16/09/2026 13:29;2430026;EXCLUIR
Fazenda Cachoeira;1766;JLK;Monta Natural;01/02/2024;T001;Não diagnosticado;;25/08/2026 19:35;2415125;MANTER
Fazenda Cachoeira;1766;JLK;Monta Natural;01/02/2024;T001;Não diagnosticado;;08/09/2026 17:27;2422078;EXCLUIR
Fazenda Cachoeira;565;JLKK;Monta Natural;30/06/2024;T001;Prenhez;15/04/2025;04/09/2026 20:31;2420988;MANTER
Fazenda Cachoeira;565;JLKK;Monta Natural;30/06/2024;T001;Prenhez;15/04/2025;09/09/2026 12:00;2422550;EXCLUIR
Fazenda Cachoeira;3352;;Monta Natural;11/03/2025;T001;Não diagnosticado;;25/08/2026 19:35;2415370;MANTER
Fazenda Cachoeira;3352;;Monta Natural;11/03/2025;T001;Não diagnosticado;;08/09/2026 17:27;2422086;EXCLUIR
Fazenda Cachoeira;1068;JLK;Monta Natural;17/11/2024;T001;Prenhez;07/09/2025;04/09/2026 20:55;2421514;MANTER
Fazenda Cachoeira;1068;JLK;Monta Natural;17/11/2024;T001;Prenhez;07/09/2025;04/09/2026 20:55;2421515;EXCLUIR
FAZENDA CATAVENTO;NFC 284;MIRELE;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388357;MANTER
FAZENDA CATAVENTO;NFC 284;MIRELE;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388451;EXCLUIR
FAZENDA CATAVENTO;NFC 284;MIRELE;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388498;EXCLUIR
FAZENDA CATAVENTO;NFC 284;MIRELE;Inseminação;16/11/2025;REMP 1715;Não diagnosticado;;24/03/2026 22:26;2388531;EXCLUIR
FAZENDA CATAVENTO;4076;4076 DA ANP;Inseminação;21/02/2026;8259;Prenhez;;03/04/2026 19:23;2393351;MANTER
FAZENDA CATAVENTO;4076;4076 DA ANP;Inseminação;21/02/2026;8259;Prenhez;;03/04/2026 19:33;2393352;EXCLUIR
FAZENDA CATAVENTO;9;FC 9;Inseminação;29/05/2023;3108;Prenhez;;24/03/2026 22:26;2387868;MANTER
FAZENDA CATAVENTO;9;FC 9;Inseminação;29/05/2023;3108;Não diagnosticado;;24/03/2026 22:26;2387850;EXCLUIR
FAZENDA CATAVENTO;B1721;B1721 DP;Inseminação;16/11/2025;REMP 1715;Prenhez;;24/03/2026 22:26;2388334;MANTER
FAZENDA CATAVENTO;B1721;B1721 DP;Inseminação;16/11/2025;REMP 1715;Prenhez;;24/03/2026 22:26;2388442;EXCLUIR
FAZENDA CATAVENTO;B1721;B1721 DP;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388477;EXCLUIR
FAZENDA CATAVENTO;B1721;B1721 DP;Inseminação;16/11/2025;REMP 1715;Não diagnosticado;;24/03/2026 22:26;2388510;EXCLUIR
FAZENDA CATAVENTO;NFC 315;LIRA CATAVENTO;Inseminação;16/11/2025;RDM A7389;Vazio;;24/03/2026 22:26;2388326;MANTER
FAZENDA CATAVENTO;NFC 315;LIRA CATAVENTO;Inseminação;16/11/2025;RDM A7389;Não diagnosticado;;24/03/2026 22:26;2388470;EXCLUIR
FAZENDA CATAVENTO;NFC 285;CONQUISTA;Inseminação;16/11/2025;LCCF 1153;Prenhez;;24/03/2026 22:26;2388362;MANTER
FAZENDA CATAVENTO;NFC 285;CONQUISTA;Inseminação;16/11/2025;LCCF 1153;Prenhez;;24/03/2026 22:26;2388453;EXCLUIR
FAZENDA CATAVENTO;NFC 285;CONQUISTA;Inseminação;16/11/2025;LCCF 1153;Prenhez;;24/03/2026 22:26;2388501;EXCLUIR
FAZENDA CATAVENTO;NFC 285;CONQUISTA;Inseminação;16/11/2025;LCCF 1153;Não diagnosticado;;24/03/2026 22:26;2388534;EXCLUIR
FAZENDA CATAVENTO;A217;NASA MACHADINHO;Inseminação;16/11/2025;RDM A7389;Vazio;;24/03/2026 22:26;2388329;MANTER
FAZENDA CATAVENTO;A217;NASA MACHADINHO;Inseminação;16/11/2025;RDM A7389;Vazio;;24/03/2026 22:26;2388473;EXCLUIR
FAZENDA CATAVENTO;A217;NASA MACHADINHO;Inseminação;16/11/2025;RDM A7389;Não diagnosticado;;24/03/2026 22:26;2388506;EXCLUIR
FAZENDA CATAVENTO;NFC 326;BRAVA CATAVENTO;Inseminação;16/11/2025;LCCF 1153;Prenhez;;24/03/2026 22:26;2388335;MANTER
FAZENDA CATAVENTO;NFC 326;BRAVA CATAVENTO;Inseminação;16/11/2025;LCCF 1153;Prenhez;;24/03/2026 22:26;2388478;EXCLUIR
FAZENDA CATAVENTO;NFC 326;BRAVA CATAVENTO;Inseminação;16/11/2025;LCCF 1153;Não diagnosticado;;24/03/2026 22:26;2388511;EXCLUIR
FAZENDA CATAVENTO;NFC 239;GRETA;Inseminação;16/11/2025;LCCF 1153;Vazio;;24/03/2026 22:26;2388363;MANTER
FAZENDA CATAVENTO;NFC 239;GRETA;Inseminação;16/11/2025;LCCF 1153;Vazio;;24/03/2026 22:26;2388433;EXCLUIR
FAZENDA CATAVENTO;NFC 239;GRETA;Inseminação;16/11/2025;LCCF 1153;Vazio;;24/03/2026 22:26;2388502;EXCLUIR
FAZENDA CATAVENTO;NFC 239;GRETA;Inseminação;16/11/2025;LCCF 1153;Não diagnosticado;;24/03/2026 22:26;2388535;EXCLUIR
FAZENDA CATAVENTO;NFCC 74;DAMA;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388338;MANTER
FAZENDA CATAVENTO;NFCC 74;DAMA;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388444;EXCLUIR
FAZENDA CATAVENTO;NFCC 74;DAMA;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388481;EXCLUIR
FAZENDA CATAVENTO;NFCC 74;DAMA;Inseminação;16/11/2025;REMP 1715;Não diagnosticado;;24/03/2026 22:26;2388514;EXCLUIR
FAZENDA CATAVENTO;FSM A2432;2432 DA SM;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388340;MANTER
FAZENDA CATAVENTO;FSM A2432;2432 DA SM;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388504;EXCLUIR
FAZENDA CATAVENTO;FSM A2432;2432 DA SM;Inseminação;16/11/2025;REMP 1715;Não diagnosticado;;24/03/2026 22:26;2388515;EXCLUIR
FAZENDA CATAVENTO;NFCC 73;AGNES;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388359;MANTER
FAZENDA CATAVENTO;NFCC 73;AGNES;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388452;EXCLUIR
FAZENDA CATAVENTO;NFCC 73;AGNES;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388499;EXCLUIR
FAZENDA CATAVENTO;NFCC 73;AGNES;Inseminação;16/11/2025;REMP 1715;Não diagnosticado;;24/03/2026 22:26;2388532;EXCLUIR
FAZENDA CATAVENTO;44;FC 44;Inseminação;22/03/2025;;Prenhez;28/12/2025;13/05/2026 23:51;2398727;MANTER
FAZENDA CATAVENTO;44;FC 44;Inseminação;22/03/2025;;Prenhez;;24/03/2026 22:26;2388169;EXCLUIR
FAZENDA CATAVENTO;LBMN E2800;E2800 DA MN;Inseminação;16/11/2025;RDM A7389;Prenhez;;24/03/2026 22:26;2388320;MANTER
FAZENDA CATAVENTO;LBMN E2800;E2800 DA MN;Inseminação;16/11/2025;RDM A7389;Não diagnosticado;;24/03/2026 22:26;2388464;EXCLUIR
FAZENDA CATAVENTO;NFC 251;CINTILANTE;Inseminação;17/07/2025;XRGM 4865;Prenhez;;24/03/2026 22:26;2388217;MANTER
FAZENDA CATAVENTO;NFC 251;CINTILANTE;Inseminação;17/07/2025;XRGM 4865;Não diagnosticado;;24/03/2026 22:26;2388134;EXCLUIR
FAZENDA CATAVENTO;954;GRACIA FIV AL CANAA;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388353;MANTER
FAZENDA CATAVENTO;954;GRACIA FIV AL CANAA;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388431;EXCLUIR
FAZENDA CATAVENTO;954;GRACIA FIV AL CANAA;Inseminação;16/11/2025;REMP 1715;Vazio;;24/03/2026 22:26;2388494;EXCLUIR
FAZENDA CATAVENTO;954;GRACIA FIV AL CANAA;Inseminação;16/11/2025;REMP 1715;Não diagnosticado;;24/03/2026 22:26;2388527;EXCLUIR
FAZENDA CATAVENTO;NFC 313;RARA CATAVENTO;Inseminação;16/11/2025;LCCF 1153;Prenhez;;24/03/2026 22:26;2388315;MANTER
FAZENDA CATAVENTO;NFC 313;RARA CATAVENTO;Inseminação;16/11/2025;LCCF 1153;Não diagnosticado;;24/03/2026 22:26;2388459;EXCLUIR
FAZENDA CATAVENTO;NFC 209;NEBLINA;Inseminação;16/11/2025;RDM A7389;Vazio;;24/03/2026 22:26;2388332;MANTER
FAZENDA CATAVENTO;NFC 209;NEBLINA;Inseminação;16/11/2025;RDM A7389;Vazio;;24/03/2026 22:26;2388475;EXCLUIR
FAZENDA CATAVENTO;NFC 209;NEBLINA;Inseminação;16/11/2025;RDM A7389;Não diagnosticado;;24/03/2026 22:26;2388508;EXCLUIR
FAZENDA CATAVENTO;NFC 290;MEDALHA;Inseminação;16/11/2025;RDM A7389;Vazio;;24/03/2026 22:26;2388317;MANTER
FAZENDA CATAVENTO;NFC 290;MEDALHA;Inseminação;16/11/2025;RDM A7389;Não diagnosticado;;24/03/2026 22:26;2388461;EXCLUIR
FAZENDA CATAVENTO;F 443;FC F 443;Inseminação;11/01/2026;;Prenhez;;30/03/2026 02:30;2390139;MANTER
FAZENDA CATAVENTO;F 443;FC F 443;Inseminação;11/01/2026;;Prenhez;;02/04/2026 20:42;2393283;EXCLUIR
FAZENDA CATAVENTO;NFC 273;RANNAH;Inseminação;16/11/2025;RDM A7389;Vazio;;24/03/2026 22:26;2388341;MANTER
FAZENDA CATAVENTO;NFC 273;RANNAH;Inseminação;16/11/2025;RDM A7389;Vazio;;24/03/2026 22:26;2388427;EXCLUIR
FAZENDA CATAVENTO;NFC 273;RANNAH;Inseminação;16/11/2025;RDM A7389;Vazio;;24/03/2026 22:26;2388482;EXCLUIR
FAZENDA CATAVENTO;NFC 273;RANNAH;Inseminação;16/11/2025;RDM A7389;Não diagnosticado;;24/03/2026 22:26;2388516;EXCLUIR
FAZENDA CATAVENTO;FSM A1879;DHARANNA DA SM;Inseminação;16/11/2025;LCCF 1153;Vazio;;24/03/2026 22:26;2388337;MANTER
FAZENDA CATAVENTO;FSM A1879;DHARANNA DA SM;Inseminação;16/11/2025;LCCF 1153;Vazio;;24/03/2026 22:26;2388426;EXCLUIR
FAZENDA CATAVENTO;FSM A1879;DHARANNA DA SM;Inseminação;16/11/2025;LCCF 1153;Vazio;;24/03/2026 22:26;2388480;EXCLUIR
FAZENDA CATAVENTO;FSM A1879;DHARANNA DA SM;Inseminação;16/11/2025;LCCF 1153;Não diagnosticado;;24/03/2026 22:26;2388513;EXCLUIR
FAZENDA CATAVENTO;NFC 309;DEUSA;Inseminação;16/11/2025;LCCF 1153;Vazio;;24/03/2026 22:26;2388346;MANTER
FAZENDA CATAVENTO;NFC 309;DEUSA;Inseminação;16/11/2025;LCCF 1153;Vazio;;24/03/2026 22:26;2388429;EXCLUIR
FAZENDA CATAVENTO;NFC 309;DEUSA;Inseminação;16/11/2025;LCCF 1153;Vazio;;24/03/2026 22:26;2388488;EXCLUIR
FAZENDA CATAVENTO;NFC 309;DEUSA;Inseminação;16/11/2025;LCCF 1153;Não diagnosticado;;24/03/2026 22:26;2388521;EXCLUIR
FAZENDA CATAVENTO;VBA C6429;VBA C6429;Inseminação;17/07/2025;FNAN 77;Prenhez;;24/03/2026 22:26;2388129;MANTER
FAZENDA CATAVENTO;VBA C6429;VBA C6429;Inseminação;17/07/2025;FNAN 77;Prenhez;;24/03/2026 22:26;2388214;EXCLUIR
FAZENDA CATAVENTO;6766;ACCENT;Inseminação;16/11/2025;RDM A7389;Vazio;;24/03/2026 22:26;2388344;MANTER
FAZENDA CATAVENTO;6766;ACCENT;Inseminação;16/11/2025;RDM A7389;Não diagnosticado;;24/03/2026 22:26;2388486;EXCLUIR
FAZENDA CATAVENTO;7789;7789 MAFRA;Inseminação;16/11/2025;RDM A7389;Prenhez;;24/03/2026 22:26;2388347;MANTER
FAZENDA CATAVENTO;7789;7789 MAFRA;Inseminação;16/11/2025;RDM A7389;Prenhez;;24/03/2026 22:26;2388447;EXCLUIR
FAZENDA CATAVENTO;7789;7789 MAFRA;Inseminação;16/11/2025;RDM A7389;Prenhez;;24/03/2026 22:26;2388489;EXCLUIR
FAZENDA CATAVENTO;7789;7789 MAFRA;Inseminação;16/11/2025;RDM A7389;Não diagnosticado;;24/03/2026 22:26;2388522;EXCLUIR
FAZENDA CATAVENTO;KAT 6606;6606 KATISPERA;Inseminação;15/03/2025;EAO B1828;Vazio;;24/03/2026 22:26;2388364;MANTER
FAZENDA CATAVENTO;KAT 6606;6606 KATISPERA;Inseminação;15/03/2025;EAO B1828;Vazio;;24/03/2026 22:26;2388454;EXCLUIR
FAZENDA CATAVENTO;KAT 6606;6606 KATISPERA;Inseminação;15/03/2025;EAO B1828;Prenhez;;24/03/2026 22:26;2388503;EXCLUIR
FAZENDA CATAVENTO;KAT 6606;6606 KATISPERA;Inseminação;15/03/2025;EAO B1828;Não diagnosticado;;24/03/2026 22:26;2388536;EXCLUIR
FAZENDA CATAVENTO;KAT 6606;6606 KATISPERA;Inseminação;16/11/2025;REMP 1715;Prenhez;;24/03/2026 22:26;2388324;MANTER
FAZENDA CATAVENTO;KAT 6606;6606 KATISPERA;Inseminação;16/11/2025;REMP 1715;Prenhez;;24/03/2026 22:26;2388438;EXCLUIR
FAZENDA CATAVENTO;KAT 6606;6606 KATISPERA;Inseminação;16/11/2025;REMP 1715;Não diagnosticado;;24/03/2026 22:26;2388468;EXCLUIR
FAZENDA CATAVENTO;NFC 248;VALIOSA;Inseminação;16/11/2025;RDM A7389;Prenhez;;24/03/2026 22:26;2388356;MANTER
FAZENDA CATAVENTO;NFC 248;VALIOSA;Inseminação;16/11/2025;RDM A7389;Prenhez;;24/03/2026 22:26;2388450;EXCLUIR
FAZENDA CATAVENTO;NFC 248;VALIOSA;Inseminação;16/11/2025;RDM A7389;Prenhez;;24/03/2026 22:26;2388497;EXCLUIR
FAZENDA CATAVENTO;NFC 248;VALIOSA;Inseminação;16/11/2025;RDM A7389;Não diagnosticado;;24/03/2026 22:26;2388530;EXCLUIR
FAZENDA CATAVENTO;NFC 316;LIKA CATAVENTO;Inseminação;16/11/2025;LCCF 1153;Vazio;;24/03/2026 22:26;2388321;MANTER
FAZENDA CATAVENTO;NFC 316;LIKA CATAVENTO;Inseminação;16/11/2025;LCCF 1153;Não diagnosticado;;24/03/2026 22:26;2388465;EXCLUIR
FAZENDA CATAVENTO;NFCC 69;VINDA;Inseminação;16/11/2025;RDM A7389;Vazio;;24/03/2026 22:26;2388349;MANTER
