categoria;animal;a12;referencia;o_que_fazer
1 - A12 repetido;8427;P460 8427 18;nascimento 16/03/2018;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;9328;P460 9328 19;nascimento 13/10/2019;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;9328;P460 9328 19;nascimento 15/08/2019;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;845;PJLK 845  15;nascimento 01/10/2015;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;845;PJLK 845  15;nascimento 28/09/2015;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
2 - Avaliacao sem grupo de manejo;1754;p460 1754 22;sobreano de 24/03/2023;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;1796;p460 1796 22;sobreano de 02/02/2024;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;1851;p460 1851 22;sobreano de 02/02/2024;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2067;pJLK 2067 24;sobreano de 27/02/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2069;pJLK 2069 24;sobreano de 27/02/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2073;pJLK 2073 24;sobreano de 27/02/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2076;pJLK 2076 24;sobreano de 24/07/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2077;pJLK 2077 24;sobreano de 24/07/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2080;pJLK 2080 24;sobreano de 24/07/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2085;pJLK 2085 24;sobreano de 24/07/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2086;pJLK 2086 24;sobreano de 24/07/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2094;pJLK 2094 25;sobreano de 24/07/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2112;PJLK 2112 25;sobreano de 24/07/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2181;PJLK 2181 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2185;PJLK 2185 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2187;PJLK 2187 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2189;PJLK 2189 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2191;PJLK 2191 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2192;PJLK 2192 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2193;PJLK 2193 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2199;PJLK 2199 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2201;PJLK 2201 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2202;PJLK 2202 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2204;PJLK 2204 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;2207;PJLK 2207 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4844;P460 4844 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4847;P460 4847 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4848;P460 4848 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4849;P460 4849 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4851;P460 4851 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4853;P460 4853 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4854;P460 4854 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4856;P460 4856 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4857;P460 4857 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4858;P460 4858 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4860;P460 4860 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4861;P460 4861 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4862;P460 4862 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4863;P460 4863 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4864;P460 4864 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4866;P460 4866 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4867;P460 4867 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4869;P460 4869 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4870;P460 4870 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4871;P460 4871 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4872;P460 4872 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4873;P460 4873 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4874;P460 4874 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4875;P460 4875 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4877;P460 4877 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4879;P460 4879 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4880;P460 4880 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4881;P460 4881 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4882;P460 4882 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4884;P460 4884 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4885;P460 4885 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4886;P460 4886 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4887;P460 4887 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4888;P460 4888 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4889;P460 4889 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4891;P460 4891 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4892;P460 4892 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4895;P460 4895 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4897;P460 4897 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4898;P460 4898 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4899;P460 4899 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4900;P460 4900 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4901;P460 4901 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4902;P460 4902 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4903;P460 4903 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4904;P460 4904 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4905;P460 4905 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4906;P460 4906 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4907;P460 4907 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4908;P460 4908 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4909;P460 4909 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4910;P460 4910 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4911;P460 4911 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4912;P460 4912 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4913;P460 4913 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4914;P460 4914 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4915;P460 4915 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4916;P460 4916 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4918;P460 4918 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4919;P460 4919 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4921;P460 4921 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4923;P460 4923 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4924;P460 4924 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4925;P460 4925 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4926;P460 4926 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4930;P460 4930 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4931;P460 4931 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4932;P460 4932 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4934;P460 4934 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4935;P460 4935 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4936;P460 4936 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4937;P460 4937 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4938;P460 4938 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4939;P460 4939 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4940;P460 4940 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4941;P460 4941 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4942;P460 4942 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4943;P460 4943 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4944;P460 4944 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4945;P460 4945 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4946;P460 4946 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4947;P460 4947 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4948;P460 4948 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4949;P460 4949 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4950;P460 4950 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4951;P460 4951 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4953;P460 4953 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4954;P460 4954 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4955;P460 4955 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4956;P460 4956 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4957;P460 4957 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4958;P460 4958 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4959;P460 4959 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4960;P460 4960 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4961;P460 4961 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4962;P460 4962 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4963;P460 4963 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4966;P460 4966 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4967;P460 4967 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4968;P460 4968 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4969;P460 4969 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4970;P460 4970 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
